x,y,cls,conf
43520,6144,0,0.2515098
44032,6144,0,0.11506276
44544,6144,0,0.13145171
45056,6144,0,0.101991236
45568,6144,0,0.13887002
46080,6144,0,0.22923312
46592,6144,0,0.14854056
47104,6144,0,0.19802542
47616,6144,0,0.21133542
48128,6144,0,0.27784026
48640,6144,0,0.18177103
49152,6144,0,0.17938676
49664,6144,0,0.23801844
50176,6144,0,0.21744137
50688,6144,0,0.19383317
51200,6144,0,0.18735561
51712,6144,0,0.2558779
52224,6144,0,0.22101425
52736,6144,0,0.29380956
53248,6144,0,0.1504652
53760,6144,0,0.16132024
54784,6144,0,0.18227993
55296,6144,0,0.17802513
55808,6144,0,0.22944888
56320,6144,0,0.26894143
56832,6144,0,0.14755519
57344,6144,0,0.19314738
57856,6144,0,0.16647205
58368,6144,0,0.25362986
58880,6144,0,0.13534632
59392,6144,0,0.19004667
59904,6144,0,0.120283715
60416,6144,0,0.13741666
60928,6144,0,0.2590751
62464,6144,0,0.29675615
62976,6144,0,0.3528984
63488,6144,0,0.36944303
64000,6144,0,0.34528464
4608,6656,0,0.12586902
5120,6656,0,0.1613863
5632,6656,0,0.16398025
6144,6656,0,0.12304914
6656,6656,0,0.07260382
7168,6656,0,0.09359513
7680,6656,0,0.07821886
8192,6656,0,0.09713317
8704,6656,0,0.13637818
9216,6656,0,0.33999196
12288,6656,0,0.23217954
12800,6656,0,0.22968638
13824,6656,0,0.34786934
14336,6656,0,0.23100649
14848,6656,0,0.13335878
15360,6656,0,0.20975281
15872,6656,0,0.24839742
16384,6656,0,0.25061464
16896,6656,0,0.15856484
17408,6656,0,0.17430486
17920,6656,0,0.22975117
18432,6656,0,0.2661665
19456,6656,0,0.16307858
19968,6656,0,0.18366683
20480,6656,0,0.16324525
20992,6656,0,0.25418484
21504,6656,0,0.15102781
22016,6656,0,0.2121504
22528,6656,0,0.22265787
23040,6656,0,0.18757874
23552,6656,0,0.17224145
24064,6656,0,0.18828668
24576,6656,0,0.2026009
25088,6656,0,0.20240377
26624,6656,0,0.26048353
27136,6656,0,0.1910634
27648,6656,0,0.15684605
28160,6656,0,0.21048217
28672,6656,0,0.18683577
29184,6656,0,0.19946387
29696,6656,0,0.22147697
30208,6656,0,0.14451066
30720,6656,0,0.23846151
31232,6656,0,0.20831981
32256,6656,0,0.3106421
32768,6656,0,0.22558717
33280,6656,0,0.24157885
33792,6656,0,0.33903387
34304,6656,0,0.31541958
34816,6656,0,0.22648408
35328,6656,0,0.23340045
35840,6656,0,0.21304955
36352,6656,0,0.21975584
36864,6656,0,0.1949036
37888,6656,0,0.122365795
38400,6656,0,0.22160327
39424,6656,0,0.21683958
39936,6656,0,0.21149823
40448,6656,0,0.17113045
40960,6656,0,0.31341976
41472,6656,0,0.121112876
41984,6656,0,0.12673113
42496,6656,0,0.16438228
43008,6656,0,0.3317148
43520,6656,0,0.29954043
44032,6656,0,0.21787788
44544,6656,0,0.20438159
45056,6656,0,0.14688088
45568,6656,0,0.23899394
46080,6656,0,0.19455904
46592,6656,0,0.23379382
47104,6656,0,0.24041776
47616,6656,0,0.33857584
48128,6656,0,0.28368217
48640,6656,0,0.23488894
49152,6656,0,0.24522054
49664,6656,0,0.20687404
50176,6656,0,0.1857625
50688,6656,0,0.19276719
51200,6656,0,0.25580817
51712,6656,0,0.17525558
52224,6656,0,0.25562227
52736,6656,0,0.16837779
53248,6656,0,0.23466961
53760,6656,0,0.18728128
54272,6656,0,0.16906264
54784,6656,0,0.17589168
55296,6656,0,0.09877259
55808,6656,0,0.13100637
56320,6656,0,0.14336751
56832,6656,0,0.14627008
57344,6656,0,0.17412922
57856,6656,0,0.31489265
58368,6656,0,0.23502058
58880,6656,0,0.1484171
59392,6656,0,0.2150209
59904,6656,0,0.15456733
60416,6656,0,0.16749084
60928,6656,0,0.1455399
61440,6656,0,0.14817041
61952,6656,0,0.2661665
62464,6656,0,0.3366581
62976,6656,0,0.3644665
63488,6656,0,0.26464334
64000,6656,0,0.29905403
4608,7168,0,0.10800066
5120,7168,0,0.20509711
5632,7168,0,0.11357959
6144,7168,0,0.108519174
6656,7168,0,0.22975117
7168,7168,0,0.18119076
7680,7168,0,0.13540348
8192,7168,0,0.124851815
8704,7168,0,0.19513355
9216,7168,0,0.22764099
9728,7168,0,0.11143445
10752,7168,0,0.30569732
11264,7168,0,0.17252009
12288,7168,0,0.18513554
12800,7168,0,0.27874738
13312,7168,0,0.19586311
13824,7168,0,0.2155158
14336,7168,0,0.18417986
14848,7168,0,0.20040116
15360,7168,0,0.19872421
15872,7168,0,0.21510331
16384,7168,0,0.24384494
16896,7168,0,0.21858597
17408,7168,0,0.26645273
17920,7168,0,0.2524301
18432,7168,0,0.25206175
18944,7168,0,0.20299561
19456,7168,0,0.13039611
19968,7168,0,0.15021572
20480,7168,0,0.14276887
20992,7168,0,0.10154489
21504,7168,0,0.2359656
22528,7168,0,0.16613355
23040,7168,0,0.21506213
23552,7168,0,0.2169225
24064,7168,0,0.18528292
24576,7168,0,0.2395939
